,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,converteu
97,- CHEFE DE COZINHA,101,158,486537,866578,0.6392405063291139,0.5614462864277653,0.0777942199013486,0.0777942199013486,0.0
187,- ESTUDANTE,476,745,486537,866578,0.6389261744966444,0.5614462864277653,0.07747988806887907,0.07747988806887907,0.0
188,- ESTUDANTE,269,745,380041,866578,0.3610738255033557,0.4385537135722347,-0.07747988806887901,0.07747988806887901,1.0
0,- a Ensino fundamental incompleto,1199,1877,486537,866578,0.6387852956846031,0.5614462864277653,0.07733900925683779,0.07733900925683779,0.0
1,- a Ensino fundamental incompleto,678,1877,380041,866578,0.36121470431539693,0.4385537135722347,-0.07733900925683779,0.07733900925683779,1.0
222,- FEMALE c 35-44 anos ES SUDESTE,76,119,486537,866578,0.6386554621848739,0.5614462864277653,0.07720917575710862,0.07720917575710862,0.0
222,- FEMALE c 35-44 anos ES,76,119,486537,866578,0.6386554621848739,0.5614462864277653,0.07720917575710862,0.07720917575710862,0.0
414,- MALE a ate 24 anos MG,133,368,380041,866578,0.36141304347826086,0.4385537135722347,-0.07714067009397385,0.07714067009397385,1.0
413,- MALE a ate 24 anos MG SUDESTE,235,368,486537,866578,0.6385869565217391,0.5614462864277653,0.07714067009397385,0.07714067009397385,0.0
413,- MALE a ate 24 anos MG,235,368,486537,866578,0.6385869565217391,0.5614462864277653,0.07714067009397385,0.07714067009397385,0.0
414,- MALE a ate 24 anos MG SUDESTE,133,368,380041,866578,0.36141304347826086,0.4385537135722347,-0.07714067009397385,0.07714067009397385,1.0
424,- MALE a ate 24 anos PE,152,420,380041,866578,0.3619047619047619,0.4385537135722347,-0.07664895166747282,0.07664895166747282,1.0
424,- MALE a ate 24 anos PE NORDESTE,152,420,380041,866578,0.3619047619047619,0.4385537135722347,-0.07664895166747282,0.07664895166747282,1.0
423,- MALE a ate 24 anos PE NORDESTE,268,420,486537,866578,0.638095238095238,0.5614462864277653,0.07664895166747276,0.07664895166747276,0.0
423,- MALE a ate 24 anos PE,268,420,486537,866578,0.638095238095238,0.5614462864277653,0.07664895166747276,0.07664895166747276,0.0
1104,- MALE a ate 24 anos PE NORDESTE Solteiro,142,392,380041,866578,0.3622448979591837,0.4385537135722347,-0.07630881561305103,0.07630881561305103,1.0
1103,- MALE a ate 24 anos PE NORDESTE Solteiro,250,392,486537,866578,0.6377551020408163,0.5614462864277653,0.07630881561305103,0.07630881561305103,0.0
174,- FEMALE b 25-34 anos GO,58,160,380041,866578,0.3625,0.4385537135722347,-0.07605371357223473,0.07605371357223473,1.0
174,- FEMALE b 25-34 anos GO CENTRO-OESTE,58,160,380041,866578,0.3625,0.4385537135722347,-0.07605371357223473,0.07605371357223473,1.0
111,- COMÉRCIO EM GERAL,51,80,486537,866578,0.6375,0.5614462864277653,0.07605371357223467,0.07605371357223467,0.0
173,- FEMALE b 25-34 anos GO,102,160,486537,866578,0.6375,0.5614462864277653,0.07605371357223467,0.07605371357223467,0.0
173,- FEMALE b 25-34 anos GO CENTRO-OESTE,102,160,486537,866578,0.6375,0.5614462864277653,0.07605371357223467,0.07605371357223467,0.0
1115,- MALE a ate 24 anos PR SUL Solteiro,72,113,486537,866578,0.6371681415929203,0.5614462864277653,0.07572185516515506,0.07572185516515506,0.0
20,- FEMALE f 65-74 anos,61,168,380041,866578,0.3630952380952381,0.4385537135722347,-0.07545847547699663,0.07545847547699663,1.0
19,- FEMALE f 65-74 anos,107,168,486537,866578,0.6369047619047619,0.5614462864277653,0.07545847547699658,0.07545847547699658,0.0
30,- PE,2142,3371,486537,866578,0.6354197567487393,0.5614462864277653,0.07397347032097401,0.07397347032097401,0.0
31,- PE,1229,3371,380041,866578,0.36458024325126076,0.4385537135722347,-0.07397347032097396,0.07397347032097396,1.0
178,- FEMALE b 25-34 anos MG,124,340,380041,866578,0.36470588235294116,0.4385537135722347,-0.07384783121929356,0.07384783121929356,1.0
178,- FEMALE b 25-34 anos MG SUDESTE,124,340,380041,866578,0.36470588235294116,0.4385537135722347,-0.07384783121929356,0.07384783121929356,1.0
177,- FEMALE b 25-34 anos MG,216,340,486537,866578,0.6352941176470588,0.5614462864277653,0.0738478312192935,0.0738478312192935,0.0
177,- FEMALE b 25-34 anos MG SUDESTE,216,340,486537,866578,0.6352941176470588,0.5614462864277653,0.0738478312192935,0.0738478312192935,0.0
142,- FEMALE a ate 24 anos RN NORDESTE,83,170,486537,866578,0.48823529411764705,0.5614462864277653,-0.07321099231011824,0.07321099231011824,0.0
142,- FEMALE a ate 24 anos RN,83,170,486537,866578,0.48823529411764705,0.5614462864277653,-0.07321099231011824,0.07321099231011824,0.0
143,- FEMALE a ate 24 anos RN NORDESTE,87,170,380041,866578,0.5117647058823529,0.4385537135722347,0.07321099231011818,0.07321099231011818,1.0
